sector,revenue_million,revenue_growth_rate,burn_rate_million,runway_months,funding_rounds,team_size,founder_experience_years,has_technical_cofounder,product_traction_users,customer_growth_rate,enterprise_customers,market_size_billion,business_model,geography,investor_type,founder_background,outcome
Other,0.0,,5.0,0.0,0,191,24,1,55529,,22,100,Subscription,Other,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,138,20,1,22855,,9,100,Subscription,Other,none,ex_bigtech,Acquisition
Other,2.5,120.0,10.0,3.6,1,288,3,0,199418,110.9,79,100,Subscription,Europe,tier2_vc,ex_bigtech,Failure
SaaS,0.0,,5.0,0.0,0,48,24,1,37356,,26,250,Subscription,North America,none,first_time,Failure
Other,0.0,,5.0,0.0,0,235,18,0,193576,,77,100,Subscription,North America,none,first_time,IPO
SaaS,1.29,120.0,3.23,3.6,1,238,7,1,94647,55.4,66,250,Subscription,Other,tier2_vc,ex_bigtech,Failure
SaaS,0.0,,5.0,0.0,0,176,21,1,92540,,64,250,Subscription,North America,none,first_time,Acquisition
SaaS,3.2,103.8,2.31,0.0,3,224,4,1,127893,86.8,89,250,Subscription,North America,tier2_vc,serial_founder,Acquisition
SaaS,0.2,120.0,0.5,1.5,1,176,1,1,194471,89.0,136,250,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,1.05,116.1,0.84,5.7,3,251,16,1,235794,70.8,165,250,Subscription,North America,tier2_vc,academic,Acquisition
SaaS,35.94,17.4,6.5,34.3,2,127,9,1,316878,10.1,221,250,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,202,13,1,186448,,74,100,Subscription,Europe,none,serial_founder,Acquisition
Ecommerce,0.0,,5.0,0.0,0,205,6,1,185285,,37,180,Marketplace,Asia,none,academic,Acquisition
Other,0.14,120.0,0.55,1.6,1,148,9,0,47935,94.8,19,100,Subscription,North America,none,academic,Acquisition
Other,0.1,120.0,0.41,1.2,1,6,5,0,20090,86.8,8,100,Subscription,North America,tier2_vc,academic,Failure
SaaS,0.0,,5.0,0.0,0,41,23,1,29718,,20,250,Subscription,North America,none,academic,Failure
Other,7.64,32.0,2.72,31.2,3,151,3,1,258066,11.6,103,100,Subscription,North America,tier2_vc,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,108,6,1,115843,,81,250,Subscription,North America,none,ex_bigtech,IPO
Other,0.12,120.0,0.5,1.5,1,103,11,1,44207,63.3,17,100,Subscription,North America,tier2_vc,first_time,Failure
SaaS,0.0,120.0,0.0,0.0,1,157,1,1,182882,71.7,128,250,Subscription,North America,none,ex_bigtech,Acquisition
Other,14.0,120.0,56.0,3.6,1,198,8,1,156540,112.5,62,100,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
SaaS,0.3,120.0,0.75,2.2,1,173,5,1,169117,115.7,118,250,Subscription,North America,none,first_time,Failure
SaaS,113.6,96.4,45.62,13.4,5,293,6,1,227220,81.1,159,250,Subscription,North America,tier1_vc,academic,Acquisition
SaaS,11.38,69.2,5.47,6.6,3,132,3,1,518517,36.5,362,250,Subscription,North America,tier2_vc,first_time,Acquisition
Other,0.01,120.0,0.03,0.1,1,151,0,0,170165,76.1,68,100,Subscription,Other,none,first_time,Failure
Other,0.0,,5.0,0.0,0,99,4,1,45202,,18,100,Subscription,Other,none,academic,Acquisition
Other,0.0,,5.0,0.0,1,260,3,0,121677,,48,100,Subscription,North America,none,first_time,Failure
Other,0.0,,5.0,0.0,0,132,23,1,89704,,35,100,Subscription,North America,none,first_time,Acquisition
SaaS,19.44,56.9,11.52,5.8,2,62,23,1,158038,17.5,110,250,Subscription,North America,tier2_vc,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,284,15,1,44672,,31,250,Subscription,Other,none,academic,Acquisition
Other,0.88,57.6,0.84,4.5,2,118,10,0,359660,53.9,143,100,Subscription,North America,tier2_vc,first_time,Acquisition
SaaS,11.12,131.8,6.11,2.9,5,155,18,1,994340,103.9,500,250,Subscription,North America,tier2_vc,academic,Acquisition
Other,0.0,,5.0,0.0,0,250,9,0,146106,,58,100,Subscription,Middle East,none,first_time,Acquisition
SaaS,0.0,70.6,0.0,0.0,2,43,18,1,399204,46.7,279,250,Subscription,North America,tier2_vc,academic,Acquisition
Other,0.0,120.0,0.0,0.0,1,292,4,0,107722,107.5,43,100,Subscription,North America,tier2_vc,first_time,Failure
Other,0.0,,5.0,0.0,0,67,8,1,150119,,60,100,Subscription,Other,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,194,9,1,25941,,10,100,Subscription,Other,none,first_time,Acquisition
Ecommerce,0.0,120.0,0.0,0.0,1,268,6,1,198620,84.7,39,180,Marketplace,North America,tier2_vc,first_time,Failure
Other,0.0,,5.0,0.0,0,107,22,0,196088,,78,100,Subscription,Asia,none,first_time,IPO
Other,0.0,,5.0,0.0,0,51,14,1,168031,,67,100,Subscription,Other,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,131,8,1,163703,,65,100,Subscription,Other,none,academic,Acquisition
Other,20.5,120.0,82.0,3.6,1,193,21,1,22361,78.5,8,100,Subscription,North America,tier2_vc,academic,Acquisition
Other,1.5,120.0,6.0,3.6,1,196,17,1,118750,92.4,47,100,Subscription,North America,none,first_time,Failure
Other,0.0,,5.0,0.0,0,98,14,1,38566,,15,100,Subscription,Europe,none,serial_founder,Acquisition
Other,0.55,120.0,2.2,3.6,1,43,20,0,45101,80.9,18,100,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
Other,16.76,165.7,15.43,1.9,6,293,16,1,1016016,117.3,406,100,Subscription,North America,tier2_vc,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,254,3,0,80511,,32,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,14,2,1,137323,,54,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,250,15,1,29921,,11,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,104,18,1,187797,,75,100,Subscription,Other,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,294,21,1,40554,,16,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,69,8,1,120746,,48,100,Subscription,Other,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,172,13,1,49630,,34,250,Subscription,Asia,none,ex_bigtech,Acquisition
SaaS,0.18,120.0,0.45,1.4,1,39,5,1,109049,62.1,76,250,Subscription,North America,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,196,5,0,81498,,32,100,Subscription,Other,none,first_time,Acquisition
Other,62.5,120.0,250.0,3.6,1,228,0,0,174925,79.4,69,100,Subscription,North America,none,first_time,Acquisition
Other,0.6,120.0,2.4,3.6,1,221,11,1,88134,85.1,35,100,Subscription,North America,tier2_vc,first_time,Acquisition
Other,0.0,120.0,0.0,0.0,1,221,19,1,51390,85.2,20,100,Subscription,North America,tier2_vc,first_time,Failure
Ecommerce,0.17,120.0,0.28,0.8,1,148,16,0,27307,96.3,5,180,Marketplace,Europe,tier2_vc,academic,Failure
Other,0.0,120.0,0.0,0.0,1,103,17,0,166574,69.7,66,100,Subscription,North America,tier2_vc,first_time,Failure
SaaS,0.0,,5.0,0.0,0,46,15,1,113192,,79,250,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,0.0,120.0,0.0,0.0,1,227,19,1,141868,114.0,99,250,Subscription,Europe,tier2_vc,serial_founder,Acquisition
SaaS,0.12,120.0,0.3,0.9,1,243,6,1,165769,78.7,116,250,Subscription,North America,none,ex_bigtech,Failure
Other,0.0,,5.0,0.0,0,174,3,0,58594,,23,100,Subscription,Other,none,first_time,Acquisition
Other,0.01,155.3,0.03,0.1,2,140,9,0,144518,144.2,57,100,Subscription,North America,tier2_vc,first_time,Failure
SaaS,0.0,,5.0,0.0,0,195,21,1,77310,,54,250,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,164,11,1,72782,,29,100,Subscription,Europe,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,147,21,0,42253,,16,100,Subscription,Other,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,216,11,1,167787,,117,250,Subscription,Europe,none,ex_bigtech,Acquisition
Other,0.02,120.0,0.1,0.3,1,206,16,1,130705,66.8,52,100,Subscription,North America,none,first_time,Failure
Other,6.62,46.9,5.18,8.3,2,70,18,1,175770,18.3,70,100,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,107,1,0,157617,,63,100,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,0.41,120.0,1.02,3.1,1,196,19,1,115408,55.5,80,250,Subscription,North America,none,first_time,Acquisition
SaaS,9.68,45.3,4.57,8.7,2,55,13,1,108368,48.5,75,250,Subscription,North America,tier2_vc,first_time,Failure
Other,0.0,,5.0,0.0,1,65,23,1,65237,,26,100,Subscription,Europe,none,ex_bigtech,Failure
Other,0.0,120.0,0.0,0.0,1,115,24,0,143512,113.0,57,100,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
Health,7.47,120.0,37.33,3.6,1,243,3,0,187537,82.3,75,350,Subscription,North America,none,first_time,Acquisition
Health,0.0,,5.0,0.0,0,278,18,0,177122,,70,350,Subscription,North America,none,ex_bigtech,IPO
SaaS,3.2,155.3,5.18,2.1,2,298,9,1,390548,133.9,273,250,Subscription,North America,tier2_vc,serial_founder,Acquisition
Other,0.38,120.0,1.5,3.6,1,196,3,1,90177,98.0,36,100,Subscription,Other,tier2_vc,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,1,216,0,1,63028,,44,250,Subscription,North America,none,serial_founder,Acquisition
Other,4.82,23.9,1.28,1.1,3,237,4,0,332745,7.0,133,100,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
Ecommerce,0.0,,5.0,0.0,0,281,1,1,156876,,31,180,Marketplace,North America,none,ex_bigtech,Acquisition
Other,58.2,86.7,21.02,0.0,8,202,20,1,1487000,78.1,500,100,Subscription,North America,tier1_vc,first_time,IPO
SaaS,0.0,,5.0,0.0,0,251,18,1,179227,,125,250,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,94,17,0,57424,,22,100,Subscription,Other,none,first_time,Failure
Other,0.0,,5.0,0.0,0,182,5,0,86709,,34,100,Subscription,Europe,none,first_time,Failure
Other,1.96,127.0,4.14,1.7,2,17,16,0,348646,93.5,139,100,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,172,10,1,194530,,136,250,Subscription,North America,none,first_time,IPO
Other,0.0,,5.0,0.0,0,88,3,0,82808,,33,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,99,22,0,87552,,35,100,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,290,16,1,146209,,102,250,Subscription,Europe,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,18,13,1,143479,,57,100,Subscription,North America,none,first_time,Acquisition
SaaS,0.2,120.0,0.5,1.5,1,42,21,1,40124,85.3,28,250,Subscription,North America,none,ex_bigtech,Acquisition
Health,0.04,120.0,0.2,0.6,1,232,5,1,106551,88.2,42,350,Subscription,North America,none,first_time,IPO
SaaS,0.0,,5.0,0.0,0,134,2,0,59115,,41,250,Subscription,North America,none,ex_bigtech,Acquisition
Ecommerce,0.0,120.0,0.0,0.0,1,286,18,1,66219,111.9,13,180,Marketplace,Other,tier1_vc,serial_founder,Failure
SaaS,0.0,,5.0,0.0,0,73,8,0,189620,,132,250,Subscription,Other,none,academic,Acquisition
Other,0.32,120.0,1.3,3.6,1,152,4,1,189553,102.3,75,100,Subscription,North America,tier2_vc,ex_bigtech,Failure
SaaS,8.48,56.5,4.99,11.4,2,15,1,1,187540,34.0,131,250,Subscription,North America,tier2_vc,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,33,22,1,83397,,58,250,Subscription,Other,none,ex_bigtech,Failure
Health,0.0,,5.0,0.0,0,271,1,0,39664,,15,350,Subscription,Other,none,serial_founder,Acquisition
SaaS,0.0,,5.0,0.0,0,114,10,1,51412,,35,250,Subscription,North America,none,first_time,Acquisition
SaaS,0.16,120.0,0.4,1.2,1,29,15,1,161144,102.5,112,250,Subscription,North America,none,ex_bigtech,Failure
SaaS,0.0,,5.0,0.0,0,156,9,1,75874,,53,250,Subscription,Europe,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,152,18,0,154115,,61,100,Subscription,North America,none,first_time,Acquisition
SaaS,2.8,110.9,3.23,1.1,2,261,13,1,336204,56.1,235,250,Subscription,North America,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,215,8,1,96536,,38,100,Subscription,North America,none,serial_founder,Failure
SaaS,0.0,120.0,0.0,0.0,1,36,7,1,176829,88.1,123,250,Subscription,North America,tier2_vc,serial_founder,Failure
Other,0.0,,5.0,0.0,0,290,11,1,26993,,10,100,Subscription,Other,none,first_time,Failure
Other,0.0,,5.0,0.0,0,170,17,1,194078,,77,100,Subscription,North America,none,first_time,Acquisition
SaaS,43.05,87.7,13.1,6.0,6,259,11,1,644796,69.6,451,250,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,165,4,1,86292,,60,250,Subscription,North America,none,first_time,Failure
Other,0.0,,5.0,0.0,0,260,14,0,136031,,54,100,Subscription,Other,none,serial_founder,Acquisition
Other,0.0,,5.0,0.0,0,284,19,0,83861,,33,100,Subscription,Other,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,63,0,1,109504,,43,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,219,7,1,130952,,52,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,132,22,0,176446,,70,100,Subscription,Other,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,228,17,0,31534,,12,100,Subscription,Other,none,ex_bigtech,Acquisition
Fintech,2.43,64.7,1.09,15.0,4,119,18,1,734336,63.2,367,200,Transaction-fee,Other,tier2_vc,first_time,Acquisition
SaaS,11.2,98.5,7.66,2.8,3,239,18,1,431268,97.7,301,250,Subscription,North America,tier2_vc,first_time,Acquisition
Health,0.0,,5.0,0.0,0,297,24,0,105690,,42,350,Subscription,Europe,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,169,8,0,110395,,44,100,Subscription,Other,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,168,15,1,105460,,42,100,Subscription,North America,none,first_time,IPO
SaaS,0.0,,5.0,0.0,0,73,21,1,125906,,88,250,Subscription,North America,none,ex_bigtech,Failure
Other,0.0,,5.0,0.0,0,254,15,1,111539,,44,100,Subscription,Other,none,serial_founder,Acquisition
Other,0.25,120.0,1.0,3.0,1,295,3,0,33659,64.2,13,100,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,219,2,1,131206,,52,100,Subscription,North America,none,first_time,Acquisition
SaaS,3.2,120.0,8.0,3.6,1,273,15,0,36248,96.0,25,250,Subscription,North America,tier2_vc,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,150,3,1,85384,,59,250,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,202,20,1,98817,,69,250,Subscription,North America,none,serial_founder,Acquisition
Other,26.68,69.2,12.31,0.3,5,76,4,0,840105,55.9,336,100,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,152,14,0,48392,,33,250,Subscription,North America,none,first_time,Failure
SaaS,0.0,,5.0,0.0,0,222,20,1,20160,,14,250,Subscription,North America,none,first_time,Acquisition
Other,5.25,99.4,5.8,0.0,3,24,22,1,308166,100.8,123,100,Subscription,North America,tier2_vc,first_time,Failure
Other,2.1,120.0,8.4,3.6,1,7,20,1,50734,77.4,20,100,Subscription,North America,tier2_vc,first_time,IPO
Other,1.18,120.0,4.7,3.6,1,124,18,0,60214,78.6,24,100,Subscription,North America,tier2_vc,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,72,19,0,146509,,102,250,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,199,9,1,113754,,45,100,Subscription,Other,none,ex_bigtech,Acquisition
Other,36.45,82.6,12.54,0.0,8,180,18,1,973216,53.8,389,100,Subscription,North America,tier1_vc,ex_bigtech,IPO
Ecommerce,0.02,120.0,0.04,0.1,1,190,21,0,25113,122.6,5,180,Marketplace,Other,none,ex_bigtech,Acquisition
SaaS,0.0,120.0,0.01,0.0,1,220,9,1,194092,90.4,135,250,Subscription,North America,none,first_time,Failure
Other,0.0,,5.0,0.0,0,63,15,1,95342,,38,100,Subscription,North America,none,serial_founder,Failure
SaaS,0.0,,5.0,0.0,0,195,8,1,97614,,68,250,Subscription,Other,none,first_time,Failure
Other,3.25,120.0,13.0,3.6,1,239,11,0,199587,89.0,79,100,Subscription,Other,none,first_time,Failure
Other,0.0,,5.0,0.0,0,117,13,1,73740,,29,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,21,11,0,156244,,62,100,Subscription,Other,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,227,24,1,72376,,28,100,Subscription,Other,none,first_time,Acquisition
Health,0.0,,5.0,0.0,0,78,23,0,53816,,21,350,Subscription,North America,none,academic,IPO
SaaS,8.3,263.9,15.2,0.0,3,237,8,1,242499,250.2,169,250,Subscription,Other,tier2_vc,first_time,Failure
Other,8.9,48.3,3.58,1.0,4,16,0,1,554960,47.0,221,100,Subscription,North America,tier1_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,274,3,0,125103,,50,100,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,33,13,1,114456,,80,250,Subscription,North America,none,academic,Acquisition
Ecommerce,0.0,,5.0,0.0,0,138,13,1,65740,,13,180,Marketplace,Europe,none,first_time,Acquisition
Other,0.0,,5.0,0.0,1,43,6,1,189313,,75,100,Subscription,North America,tier2_vc,academic,Failure
Other,0.0,,5.0,0.0,0,289,15,1,128410,,51,100,Subscription,Other,none,first_time,Acquisition
Other,7.0,240.0,28.0,2.6,2,88,1,1,279034,209.2,111,100,Subscription,North America,tier1_vc,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,25,11,0,59511,,23,100,Subscription,Other,none,first_time,Acquisition
Other,12.5,93.0,9.69,2.6,4,285,2,0,309264,81.9,123,100,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
SaaS,28.64,110.9,33.08,2.8,2,284,22,1,328230,84.4,229,250,Subscription,North America,tier2_vc,first_time,Acquisition
Other,126.15,114.2,48.04,0.4,10,212,9,1,1057210,68.6,422,100,Subscription,North America,tier1_vc,first_time,IPO
Ecommerce,399.84,16.5,30.5,60.0,3,31,17,0,75750,0.0,15,180,Marketplace,North America,tier2_vc,academic,IPO
Other,0.0,,5.0,0.0,0,178,8,1,51809,,20,100,Subscription,North America,none,serial_founder,Acquisition
Ecommerce,0.0,,5.0,0.0,0,28,21,0,99666,,19,180,Marketplace,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,218,7,0,26720,,10,100,Subscription,North America,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,92,10,1,198685,,139,250,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,229,9,0,71263,,49,250,Subscription,North America,none,first_time,Failure
Other,0.0,,5.0,0.0,0,293,13,1,115347,,46,100,Subscription,Europe,none,ex_bigtech,Acquisition
Other,1.15,27.8,0.53,13.8,2,126,15,1,125500,14.1,50,100,Subscription,North America,tier2_vc,first_time,Failure
SaaS,0.0,,5.0,0.0,0,16,6,0,67673,,47,250,Subscription,Other,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,16,18,1,57006,,39,250,Subscription,Other,none,first_time,Failure
SaaS,1.58,124.8,2.05,3.4,2,126,15,1,196954,42.2,137,250,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
Other,54.45,44.0,19.96,18.0,4,177,9,0,724748,48.2,289,100,Subscription,North America,tier1_vc,serial_founder,Acquisition
SaaS,25.6,23.1,4.1,0.0,3,211,19,1,422907,50.4,296,250,Subscription,North America,tier1_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,8,5,1,171559,,68,100,Subscription,North America,none,serial_founder,IPO
Other,0.0,,5.0,0.0,0,266,16,1,158906,,63,100,Subscription,Other,none,academic,Failure
Other,1.7,89.8,2.54,7.4,2,129,12,1,200664,79.5,80,100,Subscription,North America,tier1_vc,first_time,Failure
Other,0.0,,5.0,0.0,0,241,11,1,194825,,77,100,Subscription,Oceania,none,academic,Acquisition
Other,0.0,,5.0,0.0,0,25,19,1,167575,,67,100,Subscription,Other,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,229,4,1,125963,,50,100,Subscription,Other,none,first_time,Acquisition
SaaS,0.0,120.0,0.0,0.0,1,104,15,1,60270,88.0,42,250,Subscription,Europe,tier2_vc,serial_founder,Acquisition
SaaS,3.2,120.0,8.0,3.6,1,91,16,1,36403,105.5,25,250,Subscription,North America,tier2_vc,academic,Acquisition
SaaS,3.07,39.2,0.84,13.2,3,297,3,0,461433,36.9,323,250,Subscription,Other,tier2_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,137,1,0,139176,,55,100,Subscription,Europe,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,5,17,1,174542,,69,100,Subscription,Other,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,111,15,1,119374,,83,250,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,4.8,33.4,1.67,4.3,2,179,12,0,373392,42.6,261,250,Subscription,North America,tier2_vc,first_time,Acquisition
SaaS,0.64,120.0,1.6,3.6,1,208,0,1,24731,96.0,17,250,Subscription,North America,none,first_time,Failure
Other,0.5,120.0,2.0,3.6,1,112,18,1,54213,74.9,21,100,Subscription,North America,tier2_vc,ex_bigtech,Acquisition
SaaS,1.2,84.7,1.06,6.0,2,286,20,1,43664,77.4,30,250,Subscription,North America,none,ex_bigtech,Failure
SaaS,100.2,86.3,30.02,0.0,6,165,4,1,866814,84.8,500,250,Subscription,North America,tier1_vc,academic,Acquisition
Other,0.0,,5.0,0.0,0,280,6,1,70212,,28,100,Subscription,North America,none,first_time,Acquisition
Other,0.0,,5.0,0.0,0,43,20,1,98766,,39,100,Subscription,North America,none,first_time,Acquisition
SaaS,27.76,64.7,6.24,11.5,6,12,20,1,1175946,41.9,500,250,Subscription,North America,tier1_vc,academic,Acquisition
Other,12.0,66.9,6.69,3.2,4,133,4,1,108772,65.7,43,100,Subscription,North America,tier2_vc,first_time,Acquisition
Other,23.2,51.3,13.22,9.3,3,236,20,1,117336,53.7,46,100,Subscription,North America,tier1_vc,ex_bigtech,Failure
Other,4.4,120.0,17.6,3.6,1,5,2,1,155146,113.9,62,100,Subscription,North America,tier1_vc,ex_bigtech,Acquisition
Other,32.5,86.3,31.18,6.9,3,224,8,1,221349,68.4,88,100,Subscription,North America,tier1_vc,first_time,Acquisition
SaaS,0.08,120.0,0.2,0.6,1,93,4,1,106591,96.1,74,250,Subscription,Other,none,first_time,Failure
Other,22.5,32.1,8.03,10.8,3,77,14,0,286530,13.4,114,100,Subscription,North America,tier1_vc,first_time,IPO
Other,0.0,,5.0,0.0,0,249,21,1,103267,,41,100,Subscription,North America,none,first_time,Acquisition
SaaS,0.0,,5.0,0.0,0,163,10,1,139600,,97,250,Subscription,North America,none,ex_bigtech,Acquisition
SaaS,0.0,110.7,0.0,0.0,4,102,24,0,708652,95.2,496,250,Subscription,North America,none,first_time,Failure
Other,1.0,120.0,4.0,3.6,1,225,0,0,62462,127.5,24,100,Subscription,North America,tier2_vc,ex_bigtech,Failure
SaaS,0.0,,5.0,0.0,1,121,14,1,66626,,46,250,Subscription,Other,none,first_time,Acquisition
SaaS,7.28,95.2,4.81,3.4,3,279,18,1,382602,77.5,267,250,Subscription,North America,tier2_vc,academic,Failure
Other,0.0,120.0,0.0,0.0,1,136,24,1,111296,89.9,44,100,Subscription,North America,tier1_vc,first_time,Acquisition
Other,0.0,,5.0,0.0,0,51,23,1,55291,,22,100,Subscription,Other,none,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,104,10,1,66707,,46,250,Subscription,North America,none,ex_bigtech,Acquisition
Other,0.0,,5.0,0.0,0,206,22,1,47332,,18,100,Subscription,North America,none,first_time,Acquisition
SaaS,2.38,120.0,5.94,3.6,1,150,23,1,176872,66.0,123,250,Subscription,Europe,tier2_vc,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,168,9,1,110996,,77,250,Subscription,Europe,none,academic,Acquisition
SaaS,0.0,120.0,0.0,0.0,1,89,15,1,138251,99.8,96,250,Subscription,North America,tier1_vc,first_time,Acquisition
Other,0.45,120.0,1.78,3.6,1,106,7,0,31368,119.3,12,100,Subscription,Europe,tier2_vc,ex_bigtech,Failure
SaaS,8.32,93.7,5.42,0.1,3,273,7,1,359229,95.5,251,250,Subscription,North America,tier1_vc,ex_bigtech,Acquisition
SaaS,0.0,,5.0,0.0,0,234,17,1,158270,,110,250,Subscription,North America,none,serial_founder,Acquisition
